Title,Authors,books_count,Original_publication_year,,language_code,average_rating,,book_id
The Hunger Games,Suzanne Collins,272,2008,,eng,4.34,,2767052
Harry Potter and the Sorcerer's Stone,J.K. Rowling,491,1997,,eng,4.44,,3
Twilight,Stephenie Meyer,226,2005,,en-US,3.57,,41865
To Kill a Mockingbird,Harper Lee,487,1960,,eng,4.25,,2657
The Great Gatsby,F. Scott Fitzgerald,1356,1925,,eng,3.89,,4671
The Fault in Our Stars,John Green,226,2012,,eng,4.26,,11870085
The Hobbit,J.R.R. Tolkien,969,1937,,en-US,4.25,,5907
The Catcher in the Rye,J.D. Salinger,360,1951,,eng,3.79,,5107
Angels & Demons  ,Dan Brown,311,2000,,en-CA,3.85,,960
Pride and Prejudice,Jane Austen,3455,1813,,eng,4.24,,1885
The Kite Runner,Khaled Hosseini,283,2003,,eng,4.26,,77203
Divergent,Veronica Roth,210,2011,,eng,4.24,,13335037
Animal Farm,George Orwell,896,1945,,eng,3.87,,7613
The Diary of a Young Girl,"Anne Frank And Eleanor Roosevelt, B.M. Mooyaart-Doubleday",710,1947,,eng,4.1,,48855
The Girl with the Dragon Tattoo ,"Stieg Larsson, Reg Keeland",274,2005,,eng,4.11,,2429135
Catching Fire ,Suzanne Collins,201,2009,,eng,4.3,,6148028
Harry Potter and the Prisoner of Azkaban ,J.K. Rowling And Rufus Beck,376,1999,,eng,4.53,,5
The Fellowship of the Ring ,J.R.R. Tolkien,566,1954,,eng,4.34,,34
Mockingjay ,Suzanne Collins,239,2010,,eng,4.03,,7260188
Harry Potter and the Order of the Phoenix ,J.K. Rowling And Mary GrandPr,307,2003,,eng,4.46,,2
The Lovely Bones,Alice Sebold,183,2002,,eng,3.77,,12232938
Harry Potter and the Chamber of Secrets ,J.K. Rowling And Mary GrandPr,398,1998,,eng,4.37,,15881
Harry Potter and the Goblet of Fire ,J.K. Rowling And Mary GrandPr,332,2000,,eng,4.53,,6
Harry Potter and the Deathly Hallow,J.K. Rowling  And  Mary GrandPr,263,2007,,eng,4.61,,136251
The Da Vinci Code ,Dan Brown,350,2003,,eng,3.79,,968
